id,title,set_poster_by_filename,released,length,description
19,"Flight of the Phoenix",flightofthephoenix.jpg,2004-12-17,113,"In Mongolia, the test well of an oil field is shut-down by the company headquarter in Atlanta, and a plane piloted by Captain Frank Towns (Dennis Quaid) is sent to bring the workers back home. While flying over a storm, the plane crashes in the Mongolian desert. When they realize that they will not be rescued, they decide to build a new plane from the wreckage of the old one."
20,"Enemy at the Gates",enemyatthegates.jpg,2001-03-16,131,"In World War II, the fall of Stalingrad will mean the collapse of the whole country. The Germans and Russians are fighting over every block, leaving only ruins behind. The Russian sniper Vassili Zaitsev stalks the Germans, taking them out one by one, thus hurting the morale of the German troops. The political officer Danilov leads him on, publishing his efforts to give his countrymen some hope. But Vassili eventually start to feel that he can not live up to the expectations on him. He and Danilov fall in love with the same girl, Tanya, a female soldier. From Germany comes the master sniper K&Atilde;&para;nig to put an end to the extraordinary skilled Russian sniper."
21,"Importance of Being Earnest, The",importanceofbeingearnestthe.jpg,2002-05-17,97,"Whenever Jack Worthing slips away to London from his Hertfordshire estate he says he is going to see his (fictitious) wayward brother Ernest. Once there he keeps his privacy by calling himself Ernest - luckily so as his beloved Gwendolen declares she could only love an Ernest. Her cousin Algy is the one person who knows Jack's secret and one day he travels down to the estate, announcing himself to Jack's attractive ward Cecily as bad brother Ernest. Cecily is much taken with him and with his name, so on Jack's return home and Gwendoen's unexpectedly arrival it becomes clear there are both too many and too few Ernests earnestly courting."
22,"National Lampoons Van Wilder",nationallampoonsvanwilder.jpg,2002-04-05,92,"Van Wilder is a guy who has been at his college for seven years. He spends most of his time throwing parties and ""fund raisers"". When his father decides that it's time for tough love, he doesn't pay his tuition. So Van becomes a professional party thrower. At the same time, Gwen who writes for the college paper, is tasked with doing a story on him, but Van is too busy partying to do that. So she writes it using info from people who talk about him and writes an unflattering piece, which doesn't make him happy. He then dares her to see if she can get the true story but is more interested in trying to score with her, which is not easy because she has a boyfriend, who is a snob, and who is not too happy with the amount time she is spending with him. So he tries to get rid of him."
23,"Interview with a Vampire",interviewwithavampire.jpg,1994-11-11,123,"It hadn't even been a year since a plantation owner named Louis had lost his wife in childbirth. Both his wife and the infant died, and now he has lost his will to live. A vampire named Lestat takes a liking to Louis and offers him the chance to become a creature of the night: a vampire. Louis accepts, and Lestat drains Louis' mortal blood and then replaces it with his own, turning Louis into a vampire. Louis must learn from Lestat the ways of the vampire."
24,"Knockaround Guys",knockaroundguys.jpg,2002-10-11,92,"The four sons (Diesel, Green, Pepper, Davoli) of major Brooklyn mobsters have to team up to retrieve a bag of cash in a small Montana town ruled by a corrupt sheriff. Specifically, the story gets started when Matt Demaret (Pepper) goes on a job to deliver the money for his mob father (Hopper) on the advice of his uncle (Malkovich). Things don't go as planned though..."
25,"Phantom at the Opera",phantomattheopera.jpg,2005-01-21,143,"Begins when an opera ghost terrorizes the cast and crew of the French Opera House while tutoring a chorus girl. He finally drives the lead soprano crazy so she and her friend leave. The girl is able to sing lead one night but the soprano doesn't want her show stolen so she comes back. The ghost demands they keep giving his prot?g? lead roles. Meanwhile, His pupil falls in love with the Vicomte de Chagny, but the Phantom is in love with Christine, his student. The Phantom is outraged by their love and kidnaps Christine to be his eternal bride. Will Raoul, the Vicomte, be able to stop this dastardly plan?"
26,Sideways,sideways.jpg,2005-01-21,126,"Miles is a failed writer living a meager existence in San Diego as an English teacher. With his career seemingly fading and the fate of a book hinging on a publisher's decision, Miles is depressed with himself and what he hasn't achieved. Jack is a television actor whom some recognize but not many do, as if he were a minor actor who got a taste of success. With his best friend Miles, the two embark on a road trip through California's wine country. Miles wants to give his friend a nice sendoff before married life, while Jack simply wants to have a fling beforehand. As they're both nearing middle age with not much to show for it, the two will explore the vineyards while ultimately searching for their identities."
27,"Team America: World Police",teamamericaworldpolice.jpg,2004-10-15,98,"The North American anti-terrorist force Team America attacks a group of terrorist in Paris. Later, the leader of the organization, Spottswoode, invites the famous Broadway actor Gary Johnston to join his world police and work undercover in Cairo in a terrorist organization and disclose their plan of destroying the world. The Team America destroy the cell of terrorists, but then the Panama Canal is attacked by the criminals as a payback. Gary feels responsible for the death of many innocents and leaves the counter-terrorism organization. When the leader of North Korea, Kim Jong II, joins a group of pacifist actors and actresses with the intention of using weapons of massive destruction, the Team America tries to avoid the destruction of the world."
28,"Aviator, The",aviatorthe.jpg,2004-12-25,170,"Focusing on his early years (from the 1930 production of 'Hell's Angels' to the 1947 test flight of the Blue Spruce, when he was 42), this is the story of how young Howard Hughes transformed a small fortune into a massive one. The son of the Texan inventor of an amazing drill bit who died when he was 18, leaving him with 75% of the ""Hughes Tool Co."", Howard Hughes (DiCaprio) quickly moved to Los Angeles to become a Hollywood film producer, where he helped launch the career of Jean Harlow and other starlets, and producing such classics as Hell's Angels, The Front Page, Flying Leathernecks, and Scarface (the 1932 original), eventually owning RKO Pictures. Hughes' legend came not from focusing on just Hollywood, however, as he simultaneously branched into industry after industry, including aviation in 1932 (including TWA Airlines), and during WWII, defense, leading to the creation of the (infamous) Spruce Goose, a flying boat of immense size. After WWII, Hughes' expansions continued, with an electronics company that was integral to the evolution of the satellite, and Hughes' several Las Vegas casinos (though this film may be ending before he moves there). This film will also focus on Hughes' romances with Hollywood stars like Katharine Hepburn (Blanchett) and Ava Gardner (Beckinsale). (Huston plays the president of TWA; Baldwin plays the president of their competitor, Pan Am)..."
29,"To Kill a Mockingbird",tokillamockingbird.jpg,1962-12-25,129,"Based on Harper Lee's Pulitzer Prize winning book of 1960. Atticus Finch is a lawyer in a racially divided Alabama town in the 1930s. He agrees to defend a young black man who is accused of raping a white woman. Many of the townspeople try to get Atticus to pull out of the trial, but he decides to go ahead. How will the trial turn out - and will it change any of the racial tension in the town ?"
30,"Shaolin Soccer",shaolinsoccer.jpg,2001-07-12,113,"After a fateful mistake costing his career, an ex-soccer player bum meets a shaolin kung fu student trying to spread the word of kung fu. The ex-soccer player helps reconcile with his five brothers, and teaches them soccer, adding shaolin kung fu as a twist."
31,"Spy Game",spygame.jpg,2001-11-21,126,"CIA operative Nathan Muir (Redford) is on the brink of retirement when he finds out that his protege Tom Bishop (Pitt) has been arrested in China for espionage. No stranger to the machinations of the CIA's top echelon, Muir hones all his skills and irreverent manner in order to find a way to free Bishop. As he embarks on his mission to free Bishop, Muir recalls how he recruited and trained the young rookie, at that time a sergeant in Vietnam, their turbulent times together as operatives and the woman who threatened their friendship."
32,Hoodlum,hoodlum.jpg,1997-08-27,130,"The film focuses on the war of two gangs in 1930s Harlem for the control of illegal gaming - one headed by black strategic godfather Bumpy Johnson and another by white ruthless hothead Dutch Schultz. Negotiations proposed by white syndicate boss Lucky Luciano never get under way, blood flows and Johnson gets jailed. When Johnson is paroled, he gets the work of enforcer for mighty Stephanie ""The Queen"" St. Clair. She is also jailed for racketeering and when she leaves she makes him promise ""no violence""."
33,Empire,empire.jpg,2002-12-06,90,"Victor (Leguizamo), is trying to escape his life as a drug dealer in the South Bronx. Enter Jack (Sarsgaard), a Wall Street investment banker with a business proposal that has Victor's name (and money) written all over it."
34,"Pitch Black",pitchblack.jpg,2000-02-18,109,"The space transport vessel ""Hunter-Gratzner"" carrying 40 people on-board crashes on a desert planet when the ship is struck in a meteor storm. There are only 10 survivors, among them are pilot Carolyn Fry (Who has assumed command after the ship's captain is killed), bounty hunter William J. Johns, religious man Abu ""Imam"" al-Walid, Antiques dealer Paris P. Ogilvie, runaway teenage girl Jack, settlers John 'Zeke' Ezekiel and his lover Sharon 'Shazza' Montgomery and Richard B. Riddick, a dangerous escaped convict. Marooned, the 10 survivors finds the barren and hot desert-scape has sunlight from three suns. Not only they find food and water, and worry about Riddick, the survivors finds themselves being hunted by the planet's flesh eating alien inhabits, when the planet is engulfed in darkness, which happens every 22 years, as they come out on to the surface to hunt and eat all signs of life. Fry and the survivors finds Riddick is their best chance of survival, as Riddick has surgically-enhanced silver eyes that allow him to see in the dark as they set out to find a way of escaping from the planet and getting to a escape shuttle, before they all get eaten by the creatures on the surface."
35,"Devils Advocate",devilsadvocate.jpg,1997-10-17,144,"Based on a book by Andrew Neiderman, the film centers on a young lawyer who joins a New York firm only to discover that his boss has an increasingly bizarre personality."
36,Half-Baked,half-baked.jpg,1998-01-16,82,"After Kenny accidentaly kills a cop's diabetic horse by feeding it the food he purchased from a munchie run, he is put in jail and is given a 1 million dollar bail. The rest of the group must bail Kenny out before Nasty Nate gets to him. The group decides to sell marijuana that Thurgood gets through his job as a janitor at a pharmaceutical lab. They become pals with rap star Sir Smoke-A-Lot and the rivals of dealer Samson Simpson. On the side, Thurgood seeks the love of Mary Jane, an anti-pot daughter of a dealer. What follows is typical pothead behaviour with a ton of cameos. Look carefully."
37,Airheads,airheads.jpg,1994-08-05,92,"Chazz, Rex, and Pip are a band known as The Lone Rangers, and all they're looking for is some attention. But when they take over a radio station with fake guns in order to get their song played over the airwaves, they get a little more than they bargained for."
38,"American Outlaws",americanoutlaws.jpg,2001-08-17,94,"When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge, a group of young ranchers join forces to take back what is rightfully theirs. In the course of their vendetta, they will become the object of the biggest manhunt in the history of the Old West and, as their fame grows, so will the legend of their leader, a young outlaw by the name of Jesse James."
39,"Big Fish",bigfish.jpg,2004-01-09,125,"The story revolves around a dying father and his son, who is trying to learn more about his dad by piecing together the stories he has gathered over the years. The son winds up re-creating his father's elusive life in a series of legends and myths inspired by the few facts he knows. Through these tales, the son begins to understand his father's great feats and his great failings."
40,"Sin City",sincity.jpg,2005-04-01,124,"""Sin City"" is four stories inter-weaved telling tales of corruption in Basin City. The first story (The Customer is always right) is short, and is based on the depression of women that they need to pay a man to feel loved when they commit suicide. The next story is Part 1 of ""That Yellow Bastard"" about a cop who needs to save a young girl from being raped. The third story (The Hard Goodbye) features a man taking revenge on a heartless killer who murdered his one-night stand. The fourth story (The Big, Fat Kill) stars a man who must dispatch a cop's body, but it will be a tough ride to do it. Following that are two conclusions to Sin City, the ending of ""That Yellow Bastard"" which is set 8 years later, and a short story that ends Sin City."
41,"Orange County",orangecounty.jpg,2002-01-11,82,"Shaun Brumder is a local surfer kid from Orange County who dreams of going to Stanford to become a writer and to get away from his disfunctional family household. Except Shaun runs into one complication after another starting when his application is rejected after his dim-witted guidance counselor sends the wrong application. So, Shaun goes to great lengths with a little help from his girlfriend Ashley and his drugged-out loser brother Lance to get into Stanford any way they see fit."
42,"Wedding Crashers",weddingcrashers.jpg,2005-07-15,119,"Divorce mediators John Beckwith and Jeremy Grey are business partners and lifelong friends who share one truly unique springtime hobby--crashing weddings! Whatever the ethnicity of the wedding party--Jewish, Italian, Irish, Chinese, Hindu--the charismatic and charming duo always have clever back stories for inquisitive guests and inevitably become the hit of every reception, where they strictly adhere to their proven rules of wedding crashing to meet and pick up women aroused by the very thought of marriage. At the tail end of another successful season of toasting brides and grooms, Jeremy learns that the daughter of Treasury Secretary William Cleary and his wife, Kathleen, is getting married in what is sure to be the Washington D.C. social event of the year. After infiltrating the lavish affair, John and Jeremy quickly set their sights on two bridesmaids, Claire and Gloria Cleary. With the lavish reception in full swing, Jeremy works his game plan to perfection in seducing Gloria, but John's flirtation banter with Claire is unexpectedly impeded by her pompous, Ivy League boyfriend Sack. Having uncharacteristically fallen hard and fast for Claire, John convinces a resistant Jeremy to bend the crashing rules and accept an invitation to an extended weekend party at the Cleary family compound. Once at the palatial waterfront estate, John and Jeremy endure a multitude of comical mishaps at the hands of the dysfunctional members of the Cleary family, but also learn a few unexpected lessons about love and relationships."
43,Equilibrium,equilibrium.jpg,2003-02-26,107,"In a futuristic world, a strict regime has eliminated war by suppressing emotions: books, art and music are strictly forbidden and feeling is a crime punishable by death. Cleric John Preston (Bale) is a top ranking government agent responsible for destroying those who resist the rules. Whe he misses a dose of Prozium, a mind-altering drug that hinders emotion, Preston, who has been trained to enforce the strict laws of the new regime, suddenly becomes the only person capable of overthrowing it."
44,Troy,troy.jpg,2004-05-14,163,"It is the year 1250 B.C. during the late Bronze age. Two emerging nations begin to clash after Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans. But they come to a stop by Hector, Prince of Troy. The whole movie shows their battle struggles, and the foreshadowing of fate in this remake by Wolfgang Petersen of Homer's ""The Iliad."""
45,"Kingdom of Heaven",kingdomofheaven.jpg,2005-05-06,144,"It is the time of the Crusades during the Middle Ages - the world shaping 200-year collision between Europe and the East. A blacksmith named Balian has lost his family and nearly his faith. The religious wars raging in the far-off Holy Land seem remote to him, yet he is pulled into that immense drama. Amid the pageantry and intrigues of medieval Jerusalem he falls in love, grows into a leader, and ultimately uses all his courage and skill to defend the city against staggering odds. Destiny comes seeking Balian in the form of a great knight, Godfrey of Ibelin, a Crusader briefly home to France from fighting in the East. Revealing himself as Balian's father, Godfrey shows him the true meaning of knighthood and takes him on a journey across continents to the fabled Holy City. In Jerusalem at that moment--between the Second and Third Crusades--a fragile peace prevails, through the efforts of its enlightened Christian king, Baldwin IV, aided by his advisor Tiberias, and the military restraint of the legendary Muslim leader Saladin. But Baldwin's days are numbered, and strains of fanaticism, greed, and jealousy among the Crusaders threaten to shatter the truce. King Baldwin's vision of peace--a kingdom of heaven--is shared by a handful of knights, including Godfrey of Ibelin, who swear to uphold it with their lives and honor. As Godfrey passes his sword to his son, he also passes on that sacred oath: to protect the helpless, safeguard the peace, and work toward harmony between religions and cultures, so that a kingdom of heaven can flourish on earth. Balian takes the sword and steps into history."
46,"Starsky and Hutch",starskyandhutch.jpg,2004-03-05,101,"Set in the 1970s in a metropolis called ""Bay City,"" this is the tale of two police detective partners, Ken ""Hutch"" Hutchinson, and Dave Starsky, who always seem to get the toughest cases from their boss, Captain Dobey, rely on omniscient street informer Huggy Bear and race to the scene of the crimes in their souped-up 1974 Ford Torino hot rod, telling the story of their first big case (as a prequel to the TV show), which involved a former college campus drug dealer who went on to become a white collar criminal."
47,Fallen,fallen.jpg,1998-01-16,123,"Det. John Hobbes is convinced that when killer Edgar Reese is executed, all of his troubles are over. But when people he knows and people on the street start to sing the same tune that Reese sang in the gas chamber, and those same people taunt him, he is told that maybe the cursed fallen angel Azazel is behind it all. Azazel is cursed to roam the Earth without a form, and he can switch bodies by any contact, making him hard to track. When Hobbes is forced to kill a man possessed by Azazel, he must clear his name while protecting his family and others from the evil, vengeful Azazel."
48,"Remember the Titans",rememberthetitans.jpg,2000-09-29,113,"Suburban Virginia schools have been segregated for generations, in sight of the Washington Monument over the river in the nation's capital. One Black and one White high school are closed and the students sent to T.C. Williams High School under federal mandate to integrate. The year is seen through the eyes of the football team where the man hired to coach the Black school is made head coach over the highly successful white coach. Based on the actual events of 1971, the team becomes the unifying symbol for the community as the boys and the adults learn to depend on and trust each other."
49,"Queen of the Damned",queenofthedamned.jpg,2002-02-22,101,"After many years of sleeping in his coffin, the vampire Lestat awakens only to find that the world has changed and he wants to be a part of it. He gathers a following and becomes a rock star only to find that his music awakens the ancient Queen Akasha and she wants him to become her king..."
50,"Transporter, The",transporterthe.jpg,2002-10-11,92,"Ex-Special Forces operator Frank Martin lives what seems to be a quiet life along the French Mediterranean, hiring himself out as a mercenary ""transporter"" who moves goods--human or otherwise--from one place to another. No questions asked. Carrying out mysterious and sometimes dangerous tasks in his tricked-out BMW, Frank adheres to a strict set of rules, which he never breaks. Rule One: Never change the deal. Rule Two: No names--Frank doesn't want to know whom he's working for, or what he's transporting. Rule Three: never look in the package. Frank's newest transport seems no different from the countless ones he's done in the past. He's been hired by an American known only as ""Wall Street"" to make a delivery; but when Frank stops along the route, he notices his package is moving. Violating Rule Three, Frank looks inside the bag, finding its contents to be a beautiful, gagged woman. Frank's steadfast adherence to his other two rules--which make up his basic code of survival--also quickly fails, hurtling him and his new companion on a road leading to shocking secrets, deadly complications, and the last thing that Frank ever expected to come to believe: that rules are made to be broken."
51,"Dawn of the Dead",dawnofthedead.jpg,2004-03-19,101,"There is a young nurse named Ana who is returning from a hard day at work. Wanting to go home and cuddle with her husband Louis.But not paying attention to an emergency broadcast telling the public about a deadly plague of flesh eating creatures.Until the next day when the next door neighbor a little girl comes into their house and bites Ana's husband Louis in the neck.But Louis does not remain dead.Seconds later he is up and trying to bite Ana. Luckily Ana escapes in her car and sees the public being eaten by flesh eating zombies. Until she crashes into a tree and is recd by a black police officer called Kenneth.They regroup with 3 more people and find shelter in a closed mall called the Crossroads Mall.While they are searching the mall they find 3 security guards there armed with guns.They all keep on waiting for help to arrive.But they are all running out of ammo,food,and power.And the zombies are approaching the mall in greater number.So they armor 2 normal mall shuttle buses with weapons and a battering ram to go through the crowd of zombies in front of them.They try to make it to the boat docks and take a boat to one of the islands where they find more zombies..."
